geoid,mhi,mf_zoned_pct,zoned_acres
48085031704,85391,7.45,555.9
48085031706,250001,0.06,648.4
48085031708,90697,7.01,833.4
48085031709,123893,6.83,849.6
48085031711,105341,4.75,439.2
48085031713,44375,49.03,270.4
48085031715,132794,0.0,585.5
48085031716,94091,15.05,255.2
48085031717,76158,0.0,164.7
48085031718,116094,1.89,546.2
48085031719,96250,13.26,326.7
48085031720,32740,43.08,182.3
48085031721,120739,0.66,268.8
48085031722,58446,0.0,259.3
48085031723,55806,12.52,259.2
48085031724,79368,24.26,250.9
48085031812,113220,0.0,536.8
48113000100,198865,3.69,1261.2
48113000201,197614,0.64,617.0
48113000202,154259,3.71,561.0
48113000300,129485,6.57,637.1
48113000401,62447,1.08,709.1
48113000405,49931,0.0,154.1
48113000407,73293,0.0,180.9
48113000408,73658,0.0,163.4
48113000409,70566,2.4,1047.0
48113000410,50938,5.34,1259.2
48113000501,87604,0.0,113.9
48113000502,104155,0.0,329.9
48113000503,93851,0.0,81.2
48113000605,113554,0.0,190.8
48113000606,130672,0.0,367.1
48113000607,109861,0.0,164.0
48113000608,121875,0.0,191.2
48113000609,102772,0.33,218.2
48113000610,63125,0.0,137.3
48113000611,73717,0.0,148.8
48113000703,114149,0.0,190.0
48113000704,126458,0.0,122.2
48113000705,127596,0.0,163.8
48113000706,132188,0.0,126.6
48113000801,74375,61.1,275.8
48113000802,74821,33.9,231.2
48113000901,119649,21.63,192.0
48113000902,78165,51.18,148.1
48113001001,155921,7.39,225.2
48113001002,131875,10.46,284.7
48113001101,161467,31.09,453.8
48113001102,163229,10.18,305.6
48113001202,77083,5.44,1101.7
48113001203,139028,0.0,168.2
48113001204,55000,0.18,196.3
48113001301,103343,17.57,371.2
48113001302,66813,14.21,236.1
48113001400,62895,8.96,358.7
48113001502,48771,12.46,366.8
48113001503,71667,42.5,217.7
48113001504,66451,27.38,215.7
48113001601,62213,27.04,225.2
48113001602,132690,6.05,216.9
48113001703,115989,30.26,238.0
48113001705,104921,2.59,329.5
48113001801,88530,0.0,84.9
48113001802,117552,0.0,164.3
48113001901,144451,0.0,194.4
48113001902,117384,0.0,235.4
48113002001,65154,0.0,598.5
48113002002,44000,0.01,262.4
48113002100,102148,0.0,347.2
48113002200,80913,0.64,580.0
48113002400,58971,4.49,424.0
48113002500,51625,4.15,1507.6
48113002703,33674,0.44,1174.6
48113003102,136518,0.0,164.6
48113003103,64352,0.0,181.0
48113003700,59021,0.0,575.5
48113004201,103333,0.0,905.4
48113004202,183194,0.0,446.8
48113004300,73329,0.0,1607.6
48113004400,120083,8.26,739.1
48113004500,63568,0.0,697.6
48113004600,82107,1.97,251.0
48113004700,78582,1.97,335.9
48113004800,51332,7.21,590.1
48113005000,54984,0.56,495.9
48113005100,72440,0.27,348.5
48113005200,103073,0.0,520.7
48113005300,72481,0.08,734.3
48113005400,53000,2.41,927.3
48113005500,63750,5.23,945.7
48113005600,63867,1.1,856.1
48113005700,38508,1.05,993.6
48113005901,66103,0.0,1002.6
48113005902,42818,7.48,694.3
48113006001,54781,17.84,413.0
48113006002,43954,14.05,825.0
48113006100,63474,10.51,902.5
48113006200,49940,10.95,985.7
48113006301,60821,0.0,893.8
48113006302,73306,0.0,576.2
48113006401,72976,0.04,272.5
48113006402,49644,4.59,467.5
48113006501,91810,0.0,478.1
48113006502,62898,1.25,589.5
48113006702,48879,5.37,326.8
48113006800,61696,9.33,569.9
48113006900,50924,13.56,556.0
48113007101,189833,11.44,412.5
48113007102,82120,6.06,877.5
48113007203,44698,40.86,141.8
48113007204,63723,24.0,315.7
48113007205,43540,59.9,135.0
48113007206,49364,11.24,175.3
48113007301,250001,0.42,664.0
48113007302,243438,0.21,1293.6
48113007601,207813,0.0,961.4
48113007604,250001,0.0,923.1
48113007605,118500,1.64,894.5
48113007701,159464,20.75,254.2
48113007702,144219,7.97,671.6
48113007801,96835,0.0,868.8
48113007805,74716,0.0,947.7
48113007809,96529,5.19,727.4
48113007810,79531,0.21,808.2
48113007812,213846,0.0,999.8
48113007815,49618,23.73,445.1
48113007819,45885,34.46,243.0
48113007821,52370,22.95,475.3
48113007822,79439,6.44,546.7
48113007823,77932,4.51,566.2
48113007824,196406,0.0,411.9
48113007825,81106,11.17,626.2
48113007826,66276,41.57,208.4
48113007827,56740,74.44,181.0
48113007828,56812,16.05,394.5
48113007829,67075,0.0,634.2
48113007830,44172,80.94,54.2
48113007831,39776,99.7,70.7
48113007832,51320,67.82,83.5
48113007833,29618,67.1,128.1
48113007834,40369,58.47,172.1
48113007835,53930,45.74,201.3
48113007902,106435,2.09,1055.4
48113007903,146465,5.0,430.6
48113007906,156250,2.77,436.1
48113007909,72727,0.73,176.9
48113007910,70828,0.06,179.6
48113007912,83309,0.0,179.6
48113007913,75964,43.59,212.8
48113007914,73758,26.24,299.6
48113007915,68523,0.18,71.5
48113007916,104438,4.37,75.7
48113008000,250001,0.0,2774.3
48113008101,71750,9.17,730.2
48113008102,169423,0.12,1420.0
48113008200,84625,1.83,981.5
48113008401,66571,0.0,713.9
48113008402,73866,0.0,1494.2
48113008500,71417,1.41,940.7
48113008604,25774,24.69,438.3
48113008701,23152,12.89,1826.6
48113008703,39037,0.0,498.6
48113008704,20675,8.18,797.9
