district,decile,n,lot_lo,lot_md,lot_hi,cov_md_pct,cov_mean_pct
MF-1,1,145,33,1310,1890,93.5,83.3
MF-1,2,145,1896,2091,2816,86.2,69.6
MF-1,3,144,2950,4822,5168,41.9,39.3
MF-1,4,145,5168,5934,6486,37.8,37.3
MF-1,5,145,6486,6886,7660,32.0,29.7
MF-1,6,144,7688,9106,11777,25.7,25.5
MF-1,7,145,11812,21053,55085,21.9,23.1
MF-1,8,144,57070,104544,167081,27.7,25.9
MF-1,9,145,167896,264657,382795,28.3,24.6
MF-1,10,145,385121,486141,3577615,27.4,25.2
MF-2,1,535,0,1391,1732,32.3,31.2
MF-2,2,535,1732,2313,2983,34.1,29.1
MF-2,3,535,2983,3324,3576,42.2,37.3
MF-2,4,535,3576,4291,5621,29.9,27.7
MF-2,5,535,5621,6438,7001,18.4,17.4
MF-2,6,535,7004,7428,7890,17.5,18.9
MF-2,7,535,7890,8585,9672,16.6,16.6
MF-2,8,535,9683,11988,16304,16.7,18.7
MF-2,9,535,16309,27543,68805,19.7,20.4
MF-2,10,535,68870,206333,2627271,24.0,20.7
