district,decile,n,lot_lo,lot_md,lot_hi,cov_md_pct,cov_mean_pct
MF-1,1,36,3324,4102,5737,27.0,27.4
MF-1,2,36,5860,8763,11029,29.7,29.7
MF-1,3,35,11102,15062,27324,33.8,33.2
MF-1,4,36,28929,64499,96339,29.2,30.0
MF-1,5,35,96362,151187,246992,32.4,33.3
MF-1,6,36,247660,279854,325336,29.1,28.5
MF-1,7,35,326917,366365,396962,26.5,26.1
MF-1,8,36,398368,436336,460550,30.1,29.7
MF-1,9,35,466845,495112,557293,27.0,28.3
MF-1,10,36,570088,691038,1361447,27.2,25.1
MF-2,1,143,793,2682,3207,39.1,34.7
MF-2,2,142,3218,3534,3833,44.2,38.5
MF-2,3,142,3833,4694,6309,28.2,28.6
MF-2,4,142,6342,7089,7675,23.1,21.3
MF-2,5,142,7687,8507,9569,22.5,23.4
MF-2,6,142,9583,11636,13881,24.2,24.5
MF-2,7,141,13895,18508,27867,31.8,29.8
MF-2,8,143,28195,43981,89363,32.3,32.1
MF-2,9,142,89543,169183,270116,29.9,29.0
MF-2,10,142,270141,400091,1509617,25.8,26.6
