zone,parcels,land_sqmi,total_units,total_mf_units,mf_units_2010plus,mf_from_comm
CA-1,586,1.07,9402,2637,1185,0
CA-2,31,0.05,1609,0,0,0
CH,143,0.37,880,799,5,0
MF-1,1447,6.35,41293,39827,1495,876
MF-2,5350,8.63,67057,62203,3016,1093
MF-3,43,0.31,5679,5212,635,0
MF-4,5,0.05,908,908,0,0
MU-1,466,1.25,4029,2069,840,0
MU-2,262,1.67,10960,7778,1371,300
MU-3,1034,5.65,26470,6338,1097,21
TH-1,2210,0.89,1515,58,2,0
TH-2,4925,2.1,4392,568,6,0
TH-3,5785,2.33,5809,1871,198,0
UC-2,0,0.02,0,0,0,0
WMU-3,228,0.1,43,0,0,0
WMU-5,23,0.13,0,0,0,0
WMU-8,2,0.01,560,560,560,0
TOTAL (excl. PD),22540,30.98,180606,130828,10410,2290
PD,52917,68.61,216592,125834,52146,8117
