mva_cluster,all_2013-2018,all_2020-2024,all_pct_change,MF_MU_2013-2018,MF_MU_2020-2024,MF_MU_pct_change,PD_2013-2018,PD_2020-2024,PD_pct_change
A,560,62,-88.9,305,30,-90.2,183,21,-88.5
B,287,238,-17.1,212,12,-94.3,75,226,201.3
C,10168,7067,-30.5,708,526,-25.7,9034,6489,-28.2
D,1705,623,-63.5,140,0,-100.0,1565,623,-60.2
E,50,442,784.0,29,100,244.8,21,0,-100.0
F,5960,4337,-27.2,3267,949,-71.0,2693,3055,13.4
G,162,864,433.3,31,816,2532.3,131,48,-63.4
H,459,406,-11.5,0,112,,459,270,-41.2
I,1426,2676,87.7,166,1292,678.3,1260,1384,9.8
A-I total,20777,16715,-19.6,4858,3837,-21.0,15421,12116,-21.4
