mva_cluster,all_2013-2018,all_2020-2024,all_pct_change,MF_MU_2013-2018,MF_MU_2020-2024,MF_MU_pct_change,PD_2013-2018,PD_2020-2024,PD_pct_change
A,560,355,-36.6,305,30,-90.2,183,21,-88.5
B,359,238,-33.7,212,12,-94.3,147,226,53.7
C,10296,8578,-16.7,722,1667,130.9,9148,6859,-25.0
D,1705,1255,-26.4,140,228,62.9,1565,1027,-34.4
E,50,517,934.0,29,100,244.8,21,0,-100.0
F,6690,6481,-3.1,3407,1870,-45.1,3283,4278,30.3
G,162,914,464.2,31,866,2693.5,131,48,-63.4
H,459,1223,166.4,0,793,,459,406,-11.5
I,1426,3691,158.8,166,1592,859.0,1260,2099,66.6
A-I total,21707,23252,7.1,5012,7158,42.8,16197,14964,-7.6
