zone_dist,sq_mi,1,2-9,10-49,50+,Total,units_per_sqmi
MF-2(A),8.54,1.03,4.06,2.82,2.29,10.2,762
MF-1(A),6.21,0.07,0.24,0.3,2.95,3.55,365
MU-3,5.48,0.01,0.08,0.38,1.28,1.75,204
MU-2,1.59,0.0,0.08,0.11,1.13,1.32,529
MU-1,1.23,0.01,0.05,0.08,1.18,1.32,682
CA-1(A),1.07,0.0,0.05,0.13,0.98,1.16,692
TH-3(A),2.33,0.35,0.36,0.0,0.0,0.72,196
MF-3(A),0.31,0.0,0.1,0.33,0.0,0.43,891
TH-2(A),2.1,0.18,0.01,0.0,0.0,0.19,57
MU-3(SAH),0.17,0.0,0.0,0.0,0.17,0.17,658
WMU-8,0.01,0.0,0.02,0.05,0.0,0.07,3225
TH-1(A),0.89,0.06,0.0,0.0,0.0,0.06,42
CH,0.37,0.04,0.02,0.0,0.0,0.05,93
WMU-3,0.1,0.0,0.01,0.0,0.0,0.01,52
CA-2(A),0.05,0.0,0.0,0.0,0.0,0.0,0
MF-4(A),0.05,0.0,0.0,0.0,0.0,0.0,0
MU-2(SAH),0.07,0.0,0.0,0.0,0.0,0.0,0
MF-2(A)(SAH),0.09,0.0,0.0,0.0,0.0,0.0,0
MF-2,0.0,0.0,0.0,0.0,0.0,0.0,0
MF-1(A)(SAH),0.13,0.0,0.0,0.0,0.0,0.0,0
UC-2,0.02,0.0,0.0,0.0,0.0,0.0,0
WMU-5,0.13,0.0,0.0,0.0,0.0,0.0,0
MU-1(SAH),0.01,0.0,0.0,0.0,0.0,0.0,0
Total,30.96,1.74,5.07,4.2,9.99,21.0,433
