zone_dist,sq_mi,1,2-9,10-49,50+,Total,units_per_sqmi
MF-2(A),8.54,657,2591,1797,1462,6507,762
MF-1(A),6.21,42,153,193,1880,2268,365
MU-3,5.48,6,50,244,819,1119,204
MU-2,1.59,0,50,72,721,843,529
MU-1,1.23,5,29,50,756,840,682
CA-1(A),1.07,0,33,84,626,743,692
TH-3(A),2.33,226,232,0,0,458,196
MF-3(A),0.31,0,63,212,0,275,891
TH-2(A),2.1,114,6,0,0,120,57
MU-3(SAH),0.17,0,0,0,110,110,658
WMU-8,0.01,0,15,31,0,46,3225
TH-1(A),0.89,37,0,0,0,37,42
CH,0.37,24,10,0,0,34,93
WMU-3,0.1,0,5,0,0,5,52
CA-2(A),0.05,0,0,0,0,0,0
MF-4(A),0.05,0,0,0,0,0,0
MU-2(SAH),0.07,0,0,0,0,0,0
MF-2(A)(SAH),0.09,0,0,0,0,0,0
MF-2,0.0,0,0,0,0,0,0
MF-1(A)(SAH),0.13,0,0,0,0,0,0
UC-2,0.02,0,0,0,0,0,0
WMU-5,0.13,0,0,0,0,0,0
MU-1(SAH),0.01,0,0,0,0,0,0
Total,30.96,1111,3237,2683,6374,13405,433
