rank,station,vacant_ac,parking_ac,combined_ac,pct_of_area,parking_net_ac
1,LAWNVIEW STATION,270.9,4.2,274.6,54.7,3.7
2,UNT DALLAS STATION,250.2,10.9,257.1,51.2,6.9
3,8TH & CORINTH STATION,220.0,2.5,221.7,44.2,1.7
4,GREENBRIAR STREETCAR STATION,216.8,5.9,220.8,44.0,4.0
5,CAMP WISDOM STATION,196.5,2.9,199.1,39.7,2.6
6,LEDBETTER STATION,164.9,4.0,168.3,33.5,3.4
7,CEDARS STATION,136.0,33.2,148.0,29.5,12.0
8,OAKENWALD STREETCAR STATION,138.8,10.3,146.0,29.1,7.2
9,EBJ UNION STATION,115.0,63.1,136.5,27.2,21.5
10,CONVENTION CENTER STATION,116.3,59.3,130.2,25.9,13.9
11,UNION STREETCAR STATION,98.5,64.1,119.8,23.9,21.3
12,WEST END STATION,91.2,65.3,113.9,22.7,22.7
13,MLK STATION,77.8,31.9,109.6,21.8,31.8
14,AKARD STATION,93.1,59.3,108.8,21.7,15.7
15,MARKET CENTER STATION,70.8,44.3,107.2,21.4,36.4
16,FAIR PARK STATION,79.1,31.9,105.1,20.9,26.0
17,ST PAUL STATION,86.0,55.1,98.1,19.6,12.1
18,HATCHER STATION,93.7,4.8,97.9,19.5,4.2
19,MORRELL STATION,96.8,0.5,97.2,19.4,0.4
20,ST PAUL @ ROSS - S - NS,83.6,56.3,95.6,19.0,12.0
21,DEEP ELLUM STATION,73.1,55.7,94.0,18.7,20.9
22,FEDERAL @ OLIVE - E - NS,76.9,50.2,90.8,18.1,13.9
23,MEDICAL/MARKET CTR STATION,42.0,56.8,88.3,17.6,46.3
24,PEARL/ARTS DISTRICT STATION,69.0,46.8,86.9,17.3,17.9
25,BAYLOR STATION,52.7,58.2,84.8,16.9,32.1
26,CITYPLACE/UPTOWN WEST,59.6,28.1,83.5,16.6,23.9
27,WALNUT HILL STATION,40.0,47.3,83.4,16.6,43.4
28,CITYPLACE/UPTOWN STATION,59.0,27.7,82.6,16.5,23.6
29,COLE @ BOWEN - S - NS,63.8,24.8,82.5,16.4,18.7
30,CYPRESS WATERS STATION,78.9,3.1,82.0,16.3,3.1
31,MCKINNEY @ ALLEN - N - NS,63.6,25.0,81.5,16.2,17.9
32,VA MEDICAL CENTER STATION,65.6,23.9,80.5,16.0,14.9
33,FOREST LN STATION,55.5,22.9,78.2,15.6,22.7
34,MCKINNEY @ HALL - N - NS,58.7,23.2,77.1,15.4,18.4
35,ZOO STATION,69.7,15.0,75.8,15.1,6.1
36,SOUTHWEST MEDICAL DISTRICT/PARKLAND,53.1,25.4,73.1,14.6,20.0
37,BISHOP ARTS STATION,65.1,14.0,73.0,14.5,7.9
38,INWOOD/LOVE FIELD STATION,64.2,9.0,70.5,14.1,6.3
39,VICTORY STATION,50.3,28.9,68.4,13.6,18.1
40,BECKLEY STREETCAR STATION,58.8,11.4,66.5,13.3,7.7
41,LBJ / CENTRAL STATION,47.4,22.7,65.5,13.0,18.1
42,LAKE JUNE STATION,60.3,3.9,64.1,12.8,3.8
43,BUCKNER STATION,62.3,1.1,63.4,12.6,1.1
44,PARK LANE STATION,21.6,46.2,61.8,12.3,40.2
45,KNOLL TRAIL STATION,22.7,38.4,60.9,12.1,38.2
46,BACHMAN STATION,47.7,7.2,53.3,10.6,5.6
47,6TH STREETCAR STATION,47.9,10.1,53.0,10.6,5.1
48,ILLINOIS TC/STATION,43.6,6.6,48.6,9.7,5.0
49,MCKINNEY @ MAPLE-ROUTH - N - NS,31.9,27.4,48.3,9.6,16.4
50,KIEST STATION,20.4,28.7,48.2,9.6,27.8
51,MCKINNEY @ PEARL - S - NS,31.3,27.5,47.8,9.5,16.5
52,LBJ / SKILLMAN STATION,47.5,5.3,47.5,9.5,0.0
53,SMU/MOCKINGBIRD STATION,27.7,18.9,43.8,8.7,16.1
54,WALNUT HILL/DENTON STATION,32.8,11.2,37.5,7.5,4.7
55,SHERMAN POCKET TRACK,22.9,10.3,32.8,6.5,9.9
56,LOVERS LANE STATION,13.0,20.7,31.4,6.3,18.4
57,LAKE HIGHLANDS STATION,28.5,2.0,30.5,6.1,2.0
58,TYLER VERNON STATION,26.7,2.5,28.7,5.7,2.0
59,WESTMORELAND STATION,19.4,5.0,24.4,4.9,5.0
60,BURBANK STATION,15.1,10.2,23.4,4.7,8.3
61,ROYAL LANE STATION,17.5,4.9,20.6,4.1,3.1
62,HAMPTON STATION,14.1,4.2,17.8,3.5,3.7
63,WHITE ROCK STATION,2.3,7.0,9.2,1.8,6.9
